,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std
AVGBadPercentPerDay,0.3050000071525574,0.23897812717811576,0.18795932584752567,0.0,0.1322598541058862,0.16056977940082853,0.3499999940395355,0.33562557057959913,0.14678678103049808,0.28999999165534973,0.20371501239790757,0.2018971593324236,0.0,0.11954695373123585,0.17122347837209026,0.29499998688697815,0.22381247429050619,0.18327538460501738,0.25999999046325684,0.19203482223361185,0.18469827554259316,0.25,0.19815855127650028,0.188805070479809,0.25,0.18185731080536377,0.17974402542273654,,,
MinGoodPercentPerDay,0.3199999928474426,0.35302513589664064,0.21055096587470407,0.3499999940395355,0.7978826233617209,0.8649197508907732,0.0,0.12718859969878632,0.17765470959030727,0.33000001311302185,0.34565320327615645,0.1951652029693872,0.30000001192092896,0.5373265622433162,0.5658387264568532,0.3100000023841858,0.3940745014472589,0.3260588070208788,0.30000001192092896,0.35217367668015065,0.250778255351017,0.25,0.32115530954498805,0.2007320195251337,0.3499999940395355,0.413919759482759,0.30779685509605303,,,
AVGGoodPercentPerDay,0.5033000111579895,0.612753277775015,0.34907879143050224,1.0125000476837158,1.2274813815412298,0.7849023965401571,0.0,0.1306764194523617,0.18236087679833168,0.45159998536109924,0.5766163685520137,0.34543732821371914,0.5611000061035156,0.705521864881415,0.5484227361980408,0.7075999975204468,0.8387369418563665,0.4491743214161956,0.7365999817848206,0.8386093222435989,0.4602375076097929,0.375,0.45792525971965725,0.2901190679488408,0.4449999928474426,0.5906278259818923,0.40358137673038796,,,
AVGDneyZaloga,61.0,83.73840185179148,68.44597069435432,201.0,231.11231975714648,152.27185772946856,0.0,10.027714868713142,21.063755702549532,46.0,70.60963160230803,70.93042485575218,83.0,118.33917147545215,110.35964581518853,113.0,140.33441901004633,92.06269382712361,127.0,148.72949922466478,109.02560967440529,38.0,61.32759057512035,75.58585077681487,52.0,75.21216395078872,77.87963107652817,,,
AVGDneySProshZB,83.0,128.0116389006618,128.55630753078623,30.0,61.03060966354667,115.08197361828567,133.0,266.96950467520236,340.3208406277829,86.0,140.1376978843024,172.02018733186995,26.0,74.2435795800225,144.47446556006986,70.0,103.58718289829808,99.8449385141721,86.0,154.3065310590167,183.53489414418615,516.0,605.6067899670636,413.6215358218157,52.0,97.95219910169897,143.50813016816952,,,
AVGWeightGross,7.031199932098389,11.77135693051082,14.082431348391214,161.52999877929688,195.89561196836738,149.7782560905585,3.7799999713897705,5.583392310696704,6.329391541669083,6.28000020980835,10.63240511111407,12.826703702456982,11.214699745178223,19.11103791944984,21.399005270640536,11.498000144958496,17.799326353806265,18.663884577033773,14.797499656677246,22.27499992957961,22.44189619256902,5.857100009918213,11.726120910555132,19.019207261518268,6.636600017547607,11.825362023082787,14.753478645929098,,,
AVGWeightNet,6.6356000900268555,11.122071418164655,13.23762954207823,150.60000610351562,183.33710050655262,141.21904952500287,3.5766000747680664,5.279583946120829,6.065823460567864,5.951600074768066,10.059208627277194,12.099043005161484,10.526000022888184,17.876044448281114,19.937045849734137,10.910599708557129,16.831940037037597,17.55046032049822,14.038949966430664,21.115161895543313,21.16355118288666,5.585000038146973,11.113592282152792,17.68083109409373,6.269999980926514,11.147589354800237,13.92748028018426,,,
AVGWeightNet999,3.83870005607605,6.446745415844775,7.681021212583722,88.081298828125,106.84250556478734,81.44201523004486,2.065000057220459,3.064990422679591,3.5885271231901323,3.4440499544143677,5.826987875580847,7.01664430406013,6.110000133514404,10.388618969245163,11.59942546693506,6.310999870300293,9.75976573423001,10.165794931355022,8.151100158691406,12.259904029609148,12.281213041108142,3.228300094604492,6.42203722245593,10.14582572879401,3.632499933242798,6.471090786953129,8.112424929968256,,,
AVGWeightNotBrilliant,0.34139999747276306,1.04962879158752,3.7790606623245164,4.679999828338623,15.26332825296807,33.14550393645759,0.1899999976158142,0.488058638674903,1.3013052290365847,0.30000001192092896,0.9533999174487169,3.175798559269491,0.3100000023841858,1.6293816370334608,4.997582230993282,0.4932999908924103,1.4735117893261185,4.156993564018541,0.5649999976158142,1.815333252590638,5.309693973607783,0.2199999988079071,0.8285778827787348,2.935218563316031,0.26499998569488525,1.0054426668615573,3.02407187349507,,,
AVGCostPerGram,1171.7645263671875,1165.4951420921639,190.4778287829336,1291.4388427734375,1280.6388057184738,281.26636478682724,1213.75830078125,1199.28975238206,187.15164079055018,1228.9053344726562,1203.9748680766613,187.68252987188654,1280.9715576171875,1244.3214556621117,199.12311323162587,1182.2652587890625,1174.322987507678,184.39092082924057,1134.3017578125,1136.1821497397234,182.90937007710073,979.9644775390625,982.8611446136096,149.9906794994534,1301.9388427734375,1264.971106994392,199.42845582634408,,,
AVGCost,8181.9267578125,14090.713262174748,17323.36540379394,202101.40625,246365.38330593827,193563.65138524366,4481.0,6795.027606639669,8291.253102151664,7574.991455078125,13063.981413861198,15952.347698347518,13784.0,23897.888046662145,27273.913458200805,13307.599609375,20920.85155978969,22239.287804179283,16607.501953125,24904.382494588845,24894.26864963075,5654.16015625,11673.923211386937,19666.100791206845,8390.5,15009.84073625027,18970.47049349269,,,
MaxCost,20631.0,41093.66703343344,61271.087405579,420851.0,548293.5168043851,454442.192702675,6888.0,11396.431684663596,15898.921678451201,17388.5,34818.790029129275,50743.61589522603,23744.0,43719.78495534632,56527.345422267616,35276.3984375,57213.696618723465,65580.89271915884,46976.5,72723.85106410283,82036.545124464,10095.0,23934.397981738875,46659.09163376587,14741.0,31412.47774618499,47776.671086434144,,,
QntTreasury,2.0,2.2986665797280996,1.0405653875368874,2.0,1.835314950670377,0.9466794237746812,2.0,1.696235172769469,0.8194740744321224,2.0,2.1416333777185974,0.9969337333283471,1.0,1.6258549805497686,0.90370734471063,2.0,2.3429515115372266,1.007588750613903,2.0,2.3642707288151055,0.8727881557588693,2.0,1.9120851279452749,0.6606938441143042,1.0,1.5681428602425846,0.9039223567500655,,,
AVGPercentPerDay,0.33500000834465027,0.34352024889532917,0.05656148262064025,0.2833000123500824,0.27733916109449014,0.06241012089048547,0.3499999940395355,0.35006776834208114,0.10342121329993206,0.3400000035762787,0.34681349733728933,0.0571452300669468,0.28999999165534973,0.2882556445592097,0.07297981053038152,0.32659998536109924,0.333493467712737,0.054510724619472685,0.3149999976158142,0.32290072064270103,0.05577701614510387,0.29159998893737793,0.3079539901067977,0.0829538508828151,0.3499999940395355,0.3433387129279944,0.05723129464787954,,,
MINPercentPerDay,0.2800000011920929,0.2833580023139114,0.06623818707703984,0.20000000298023224,0.23855553019500642,0.06543890231051384,0.33000001311302185,0.31593963686806753,0.08113577991371602,0.30000001192092896,0.2959838740620225,0.06959066434589499,0.20000000298023224,0.2542152630790176,0.07943406935936552,0.25,0.27192899023797773,0.06177356549293086,0.25,0.2600784470535924,0.05795852851196001,0.25,0.23703319038926784,0.02191860735081564,0.33000001311302185,0.32010198098734854,0.07069344555961463,,,
MAXPercentPerDay,0.3799999952316284,0.39547289008363273,0.15081259157972507,0.33000001311302185,0.3187579071894194,0.11463195946206438,0.3499999940395355,0.3843971554665303,0.21170584460777508,0.3499999940395355,0.3894719242928366,0.1483988909809725,0.3499999940395355,0.33380735998233596,0.13486213007832057,0.3700000047683716,0.38713840091057317,0.13360478574913676,0.36000001430511475,0.38159673471314015,0.12561442293770575,0.3499999940395355,0.36505386620676905,0.18620968698060592,0.3499999940395355,0.36314643855319895,0.09166283335137042,,,
QntPromo,0.0,0.6015062106738825,1.0873767447805223,0.0,1.3531495067037693,3.081591356034659,1.0,0.9151736663901159,1.2957226766978782,0.0,0.5630714602751886,0.9469390893705628,2.0,2.9213878800169613,4.146720987347612,0.0,0.6427817789806872,1.2818175854131233,0.0,0.6489099698987504,1.262661014233766,0.0,0.3217633645806942,0.5558882899675871,0.0,0.33792609629613557,0.7943396913182568,,,
PercentPromo,0.0,0.04536080113968728,0.07884510441897506,0.0,0.063649428409001,0.10876588209489738,0.2222222238779068,0.2634483376996908,0.27830966468485097,0.0,0.05483931936334666,0.09975195071184623,0.1666666716337204,0.24785009843043923,0.28002874514426773,0.0,0.03508485158249757,0.05889092328516519,0.0,0.043489777573434384,0.08377194892455424,0.0,0.09079962134482077,0.17008534072232165,0.0,0.04982522722743244,0.11560159472526876,,,
OverPayAmount,0.0,852.6852434611362,2326.0116760974133,13328.830078125,29025.063346092713,71201.43377598995,0.0,52.97998177716798,2532.1960644630008,0.0,700.886620979405,1917.8304321548862,396.0,1186.9776327342372,2048.092389717279,1663.239990234375,4901.055559169175,12581.10291866099,2037.9400024414062,6987.791311680374,19254.934849145,0.0,504.42719246618105,2022.2644295669718,0.0,759.6445997241759,2058.3286102089755,,,
PercentAmount,0.0,91.988458979951,506.0607188015447,0.0,258.31108289931416,1971.2486573808262,0.0,17.42424803972311,184.7189559624788,0.0,66.52013405285602,399.94188308375686,0.0,73.775323807113,434.9312872812415,0.0,78.73218928943496,568.0291999510937,0.0,50.91416524914857,434.04849745320683,0.0,163.17202688181644,744.6835952053425,0.0,45.88298256471512,369.7116616654033,,,
BadPercentPerDay,0.0,0.13049946115291944,0.1691021134911462,0.0,0.08175309974574874,0.1321667684853361,0.3400000035762787,0.28486759047342564,0.14192182557812855,0.0,0.09871223500770901,0.15994383671605353,0.0,0.06772386222147568,0.12703048388849836,0.0,0.1223863504279824,0.16224697052600276,0.0,0.11351318128048846,0.1552190028998424,0.0,0.10989359006840639,0.12409954977105765,0.0,0.11431618421506123,0.1662721326798458,,,
GoodPercentPerDay,0.3400000035762787,0.5746343667170682,0.7072486154980212,1.0,1.2341436917287865,0.9934058808580059,0.0,0.05763324853835155,0.1404627837582752,0.3499999940395355,0.5546410683809803,0.5868708041927561,0.4000000059604645,0.6683619434151976,0.6318413119330433,0.3700000047683716,0.7314220909361632,0.8301262010068466,0.36000001430511475,0.7206134264999026,0.8279585424780652,0.25,0.307192804656634,0.42451453931329386,0.3499999940395355,0.540855119579276,0.6026825109999946,,,
DayDiff,0.0,99.7820884817266,185.59100879174142,0.0,129.60156842904124,201.75286363114688,0.0,61.48180370876965,152.92975999353473,0.0,92.56826453617398,154.83929709949962,0.0,91.62318172600062,161.8048797861419,0.0,112.73640992706088,200.69376043182015,0.0,108.15844203229044,198.76015049885407,0.0,76.11730428173296,186.93490054587662,0.0,79.51029574500402,145.18898572496116,,,
isGoodZB,1.0,1.6998011280279073,2.0660532873865938,4.0,4.524664811535542,3.373203719795491,0.0,0.16676009597058097,0.39813013614500475,1.0,1.6030773783104009,1.6802473025494769,2.0,2.5984771667189026,2.362245421870758,1.0,2.22941419331162,2.485462822812785,1.0,2.279120678646356,2.5818927536617804,1.0,1.2285279959462883,1.6980555759130238,1.0,1.5793173780024736,1.723874776797076,,,
BudetSledVisit,0.0,0.39859159521403187,0.48961633032066987,1.0,0.5102453832532254,0.49995826292863615,0.0,0.28244052290512817,0.450191535300844,0.0,0.46527592839177395,0.4987964713566061,0.0,0.4548588705960436,0.4979626994185298,0.0,0.4043763475388779,0.49078219868838185,0.0,0.38114567180516284,0.4856793251462789,0.0,0.23030149480618192,0.42107913558382754,0.0,0.39566472107101786,0.48899830061493554,,,
labels,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,4.0,4.0,0.0,5.0,5.0,0.0,6.0,6.0,0.0,7.0,7.0,0.0,8.0,8.0,0.0,,,
