,mean,mean,mean,mean,mean,mean
PartnerID,731428.6691404771,2699301.435746542,2616303.824091076,624039.099471831,2639938.630453639,1481826.856135893
Sex,0.2642433421683706,0.353734171403768,0.595574733749541,0.38952464788732394,0.35859683905780043,0.3497920183789617
Age,41.34711599141739,38.9926126261488,40.65993389643775,35.5237676056338,34.59539714546417,35.90844747666371
CreditCondition,4.061062728764357,0.019027704738770773,1.2203452074917371,6.860035211267606,0.9961135956562391,2.5180221731033643
LombardRating,3.909882620219614,0.1239534553710799,1.3295078957032684,6.124119718309859,1.3765306237397348,2.6323511495553196
SumAmountzb,490342.5305691564,19981.858475052417,736709.4976972061,35087.39267891897,37600.36892440608,70657.23915177086
AVGAmountzb,8340.255674067088,6257.006917226384,62707.075528035915,6200.279284920491,6452.466262740462,6072.865634772969
ZB,52.59320964281206,3.038101319710515,10.680040396621374,5.675396126760563,5.346813711685122,11.228002390193247
Good,49.05189953300518,2.2953238340887654,9.303984575835475,4.384022887323944,3.410426828581406,9.575131547650127
PercentGood,93.09598547675748,49.00755230404033,76.6564832476518,76.50735642855436,55.496757202520094,78.46016456930754
Promo,0.11785939669317178,0.3502157780949757,0.22245684906353286,0.03873239436619718,0.02919872480877764,0.022138294724750682
QntNew,24.17511043796542,2.21105768829456,6.3926735218509,4.205545774647887,4.085106622658301,7.774863521125943
QntPerez,28.26366275400732,0.7844389352164877,4.220987881013588,1.4383802816901408,1.065956224442667,3.3033340875205224
QntOSN,0.0842357692793134,0.019528543643936927,0.011659933896437753,0.02618838028169014,0.05495037793874125,0.06394927220936236
QntBuyUp,0.07020068156001515,0.023076152555530513,0.05471905986044803,0.00528169014084507,0.14080048664541348,0.08585550933741755
AVGDneyZaloga,52.94996844629559,17.239025367490548,30.12146529562982,33.74867957746479,24.57849973527391,36.457170869809886
AVGDneySProshZB,64.59078631831377,25.65162897853905,47.48540213000367,489.61333626760563,140.299467168332,140.9432793219277
AVGWeightGross,8.404980786568007,5.68095333049053,55.861359046195474,7.106014679517256,5.727808637717808,5.901908962267752
AVGCostPerGram,1096.3601030114894,1159.6238101881088,1239.9060696170386,959.2978569907202,1187.2323074960912,1122.1936356609963
AVGCost,9086.665616894334,6589.457163752037,67273.71826960871,6714.012505531311,6827.9778157699675,6626.457738837558
AVGPercentPerDay,0.3141934569956572,0.32447880280993624,0.28489595261449285,0.3088525524526887,0.35135600638214876,0.3460952862754424
MINPercentPerDay,0.24573065912115682,0.313382707551893,0.2571694850196547,0.236263204907054,0.32413197987708103,0.28972095162577716
MAXPercentPerDay,0.39860229721563445,0.3376503136827398,0.3176762777621086,0.3633472734773663,0.3778712627464945,0.398968676933499
OverPayAmount,3515.24904525234,3.759684015573574,6386.329173828809,24.51456197046898,3.0306338902303804,342.72757688101933
BudetSledVisit3M,0.7023349741259624,0.23545271663369477,0.481546088872567,0.3118397887323944,0.33453492694686326,0.44566081301379
BudetSledVisit6M,0.7523917707938912,0.25322832410955015,0.5165258905618803,0.32702464788732394,0.37329758592333084,0.4889801648769225
BudetSledVisit12M,0.7734948882998864,0.2760206679521532,0.5447117150201983,0.3615757042253521,0.422502844397382,0.5336802594403931
labels,0.0,1.0,2.0,3.0,4.0,5.0
