,50%,mean,50%,mean,50%,mean,50%,mean,50%,mean,50%,mean
PartnerID,289983.5,1245613.0584232642,1763383.0,2450202.7030606284,1641676.0,1892093.4561666613,2335046.5,2630188.136929134,2321563.0,2575194.8045057105,1196879.0,1305014.3729188303
Sex,0.0,0.35345239232165027,0.0,0.35734296115414,0.0,0.3522479841872431,0.0,0.36440944881889764,0.0,0.36285778679287806,0.0,0.3398546112358045
Age,40.0,36.05641772514564,34.0,37.12208056808138,35.0,37.33760863426725,34.0,36.78031496062992,34.0,36.94898649114818,35.0,37.94003550969817
CreditCondition,5.0,2.9384251742908987,0.0,1.0524486524546448,1.0,1.2517679540677062,0.0,0.9876377952755906,0.0,0.9864129559869925,1.0,1.5303004924458141
LombardRating,5.0,2.875966956355649,0.0,1.19923297029258,1.0,1.3550716907727545,0.0,1.1474015748031496,0.0,1.1380138262201431,1.0,1.602090382231751
SumAmountzb,224998.4296875,93097.09840098266,11609.0,44454.12916506353,14666.0,55390.60129720532,11311.0,41091.397161110704,11250.0,41582.87210952693,20840.0,71471.63511035882
AVGAmountzb,6270.19775390625,6923.488829923762,4400.0,7292.773780620335,4300.0,6992.986506783958,4500.0,7488.925874100332,4500.0,7424.702110110015,4190.0,6571.403689016901
ZB,32.0,12.83377900869067,2.0,5.9585324564426,3.0,7.66769365920999,2.0,5.481338582677165,2.0,5.50928417343949,5.0,10.386452715151922
Good,30.0,10.964115175245917,1.0,4.76332938832377,2.0,6.244539265208798,1.0,4.363543307086614,1.0,4.3881828593506365,3.0,8.55475528458008
PercentGood,97.7272720336914,81.08243632329682,84.61538696289062,60.276229223243,83.33333587646484,61.36489183609364,85.71428680419922,60.25093455832774,85.71428680419922,60.4042160824353,83.33333587646484,63.54885062288509
Promo,0.0,0.02607200840416388,0.0,0.19088852601459155,0.0,0.19312270573839926,0.0,0.17244094488188977,0.0,0.1696908648516878,0.0,0.19701182539948411
QntNew,13.0,9.15593066564798,2.0,4.204985693098231,2.0,5.287127035421831,2.0,3.908267716535433,2.0,3.9062291583299986,4.0,7.0112559043248135
QntPerez,17.0,3.578120523350205,0.0,1.6505071085077376,0.0,2.279471653123333,0.0,1.4678740157480314,0.0,1.4932409745507398,0.0,3.2660547385347223
QntOSN,0.0,0.05510457453920351,0.0,0.03995445761112193,0.0,0.04516675556113325,0.0,0.03141732283464567,0.0,0.03701250615188604,0.0,0.05537502931225084
QntBuyUp,0.0,0.04462324515328049,0.0,0.06308519722550973,0.0,0.05592821510369278,0.0,0.07377952755905512,0.0,0.0728015344068662,0.0,0.05376704298013467
AVGDneyZaloga,56.0,41.564869639957976,21.0,24.820092582882655,24.0,26.422765349982743,20.0,24.4348031496063,20.0,24.486507246576792,28.0,29.204951257914306
AVGDneySProshZB,35.0,105.82857415719606,24.0,83.0477446030771,38.0,102.97739152260534,19.0,72.37645669291338,20.0,72.4444766412312,58.0,135.69659307895884
AVGWeightGross,6.396799802780151,6.838110996615575,4.138500213623047,6.729489126317104,4.159999847412109,6.645967767960664,4.119649887084961,6.676803355617082,4.086599826812744,6.654988443919388,4.239999771118164,6.5155634311975055
AVGCostPerGram,1091.9564208984375,1102.5848610368594,1153.225830078125,1149.9072726426098,1103.478759765625,1117.0576766876216,1209.7945556640625,1184.8167051393405,1210.9937744140625,1183.4013985024935,1057.925537109375,1072.0189357145575
AVGCost,6869.25,7564.523775731876,4690.740234375,7779.283157622258,4589.66650390625,7473.908247180786,4815.0,7946.954427062507,4781.5,7923.355024787477,4479.95556640625,7036.661599072758
AVGPercentPerDay,0.30399999022483826,0.3425620928806603,0.33660000562667847,0.33180749180124014,0.33570000529289246,0.3346772576845112,0.34279999136924744,0.33525131460836555,0.3449999988079071,0.33619065510985563,0.3303000032901764,0.33577461727144475
MINPercentPerDay,0.23999999463558197,0.2827282496582581,0.30000001192092896,0.30197060756314226,0.30000001192092896,0.29815266886950137,0.33000001311302185,0.311003937125206,0.33000001311302185,0.3122374467738099,0.25999999046325684,0.2876935452330149
MAXPercentPerDay,0.36000001430511475,0.39917892151853834,0.3499999940395355,0.36055879235223887,0.3499999940395355,0.371039750844804,0.3499999940395355,0.3593929123503017,0.3499999940395355,0.3592676140006204,0.3499999940395355,0.3859853939353583
OverPayAmount,567.0,15.568940350369775,0.0,168.16908080274501,0.0,199.94324540697858,0.0,196.51046491307537,0.0,157.80727130011215,0.0,235.8261666273153
BudetSledVisit3M,1.0,0.4856508451914812,0.0,0.32769546523647586,0.0,0.33336052458193455,0.0,0.3311811023622047,0.0,0.3284900166963337,0.0,0.3561354728484808
BudetSledVisit6M,1.0,0.5134896380479419,0.0,0.36009947416518107,0.0,0.36393185454773636,0.0,0.36055118110236223,0.0,0.35777989356662204,0.0,0.38916619208736725
BudetSledVisit12M,1.0,0.5461512749498615,0.0,0.3943461521175713,0.0,0.39585228877106016,0.0,0.3990551181102362,0.0,0.3914669316002263,0.0,0.41991893068908914
labels,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0
