,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
PartnerID,1%,10%,20%,15%,19%,13%,12%,4%,5%,
SEX,44%,26%,22%,39%,39%,38%,35%,22%,31%,
Age,34,36,52,34,36,35,36,46,39,
CreditCondition,0.1,1.1,0.0,1.0,7.0,2.1,3.0,0.3,4.3,
LifeTime,654,734,815,927,1860,1371,1530,1064,1672,
DayFromLast,635,499,500,524,658,521,554,450,474,
BudetPerezalog,1%,3%,5%,8%,7%,11%,15%,35%,28%,
SumAmountzb,9070.949533,25825.76637,32483.35523,42433.88635,44710.85815,68403.50619,126158.7909,141471.9792,335750.9085,
AVGAmountzb,7593,7053,8585,7189,6463,6286,7142,9819,10089,
ZB,1,4,5,6,7,11,17,17,34,
PercentSMS,0%,3%,3%,5%,1%,4%,2%,1%,1%,
PercentPromo,1%,52%,84%,7%,12%,8%,6%,14%,7%,
PercentBudetPerezalog,1%,4%,6%,15%,25%,19%,34%,66%,57%,
PercentGood,38.47,31.46,65.05,61.09,76.27,76.92,82.39,91.90,92.47,
PercentNew,100%,49%,94%,85%,76%,81%,66%,39%,45%,
PercentPerez,0%,3%,4%,13%,24%,17%,33%,60%,55%,
PercentOSN,0%,1%,2%,1%,0%,1%,0%,0%,0%,
PercentBuyUp,0%,47%,1%,1%,0%,1%,0%,0%,0%,
AVGDneyZaloga,10.34026638,11.32294567,21.00556074,26.39450489,34.88276193,30.6078142,42.30400673,49.61152894,53.88024587,
AVGDneySProshZB,5.262173053,102.3303996,79.52353448,149.2006085,438.6197555,177.1716752,99.16138147,50.8109609,62.1441435,
AVGWeightGross,6.122693141,5.541994273,7.121553152,6.11221762,7.125645363,5.793838723,6.725044402,8.775091619,9.750615726,
AVGCostPerGram,1288.834424,1288.018011,1269.383285,1245.016142,995.2409752,1184.266569,1169.699323,1234.898567,1146.240327,
AVGCost,7948.933699,7163.230666,9076.295731,7681.939944,7049.646711,6926.591417,7886.881944,10774.65301,11118.64376,
MaxCost,8263.128932,11696.23985,11782.79704,12288.01183,12025.35644,12912.34315,16097.92182,16812.65117,26776.28797,
AVGPercentPerDay,0.351698473,0.346143088,0.239957945,0.348355502,0.304440134,0.350130597,0.342544158,0.302994551,0.322159007,
MINPercentPerDay,0.349527674,0.337537493,0.22093887,0.323295039,0.236631504,0.295681502,0.282534191,0.272788622,0.257789861,
MAXPercentPerDay,0.353585318,0.354666365,0.271353951,0.371826109,0.365718056,0.398108785,0.397620907,0.346742987,0.389636945,
isGoodZB,0.382890165,0.278491244,0.635717873,0.527512447,0.586190362,0.662428112,0.640446061,0.794998731,0.72848182,
BudetSledVisit3M,0.051563556,0.193803323,0.221747865,0.172395353,0.104771038,0.233515839,0.253178635,0.437103326,0.364869965,
MoreGood,0.018060515,0.196138303,0.373394561,0.625650009,0.837209302,0.817884676,0.908262947,0.991098629,0.993997016,
labels,7,5,1,2,8,4,6,0,3,
