,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
PartnerID,0.089385495,0.17798414,0.31837713,0.150785219,0.053951839,0.074050975,0.032112204,0.003640543,,
SEX,0.201290009,0.391463787,0.441488332,0.39443055,0.340143827,0.370727647,0.270099368,0.275896414,0.261900433,
Age,53.02932944,35.22399919,33.81582634,34.21614082,36.95745682,35.77607482,35.625,34.17430279,43.49219972,
CreditCondition,0.012494422,2.436487725,0.005945127,0.998557137,4,3,1.014566396,6,3.038328666,
LifeTime,810.2627885,1388.275868,646.3506828,914.2505771,1524.673432,1492.464254,725.6390018,1241.878486,1641.963599,
DayFromLast,567.5229402,614.4492004,640.9689646,577.4552713,652.6937294,665.7835667,521.6042231,616.9013944,586.0795302,
BudetPerezalog,0.27155085,0.248100234,0.161201781,0.238192574,0.514886753,0.369356576,0.097560976,0.078685259,0.583657588,
SumAmountzb,27696.60686,42967.7758,8516.840189,30524.11998,130526.5284,77685.94995,23049.77014,40996.74895,257220.9649,
AVGAmountzb,10415,6119,7888,7339,8363,6896,7094,6275,10996,
ZB,3.276297108,7.238463889,1.075635229,4.187427857,16.74897507,11.62941925,3.133468835,6.519920319,25.13378668,
PercentSMS,0.020394812,0.033932275,0.00055348,0.05008722,0.011601544,0.017565026,0.029633421,0.022833304,0.011414498,
PercentPromo,0.826584835,0.103415179,0.012072597,0.080399846,0.087038253,0.072965423,0.531862043,0.188003622,0.133919009,
PercentBudetPerezalog,0.226056933,0.168495063,0.16009097,0.182266505,0.538377194,0.314142902,0.046426991,0.026073487,0.617474002,
PercentGood,65.65412464,71.98564472,45.97437884,58.13339096,90.92819262,79.70430522,29.61665972,8.778132259,92.81324248,
PercentNew,0.932232727,0.877535616,0.998504293,0.917222156,0.527583517,0.748023874,0.505792556,0.886949373,0.440677359,
PercentPerez,0.049682599,0.101541578,0.0006063,0.062258251,0.468313666,0.242367765,0.00367067,0.006188397,0.555738962,
PercentOSN,0.013048065,0.012610691,0.000828658,0.016127918,0.001878129,0.004844127,0.013331736,0.023324454,0.001814803,
PercentBuyUp,0.005036612,0.00831212,6.07E-05,0.004391678,0.002224701,0.004764242,0.477205049,0.083537779,0.001768886,
AVGDneyZaloga,24.19415034,28.98084955,14.974215,25.55211139,52.37972982,41.66829889,10.34168925,9.707171315,53.50521837,
AVGDneySProshZB,72.68694982,244.6140776,2.550584832,162.9265823,72.26312252,116.3262658,100.7346432,126.6713147,65.49183607,
AVGWeightGross,8.563600263,5.739689545,6.404395668,6.212665145,8.140388172,6.549549254,5.550268147,5.601326596,10.94443092,
AVGCostPerGram,1267.777605,1154.250464,1291.691461,1243.0942,1135.210099,1145.663814,1289.984353,1123.710638,1095.27328,
AVGCost,10936.53738,6690.057244,8312.915025,7810.352908,9198.656193,7554.135615,7191.727649,6331.75039,12045.82651,
MaxCost,13289.84965,11632.62314,8475.002196,11817.96591,17899.03812,14469.87434,11448.7556,13369.86872,26701.94509,
AVGPercentPerDay,0.24412783,0.348674801,0.351584584,0.348743297,0.330200356,0.344196543,0.345701828,0.360881473,0.308941456,
MINPercentPerDay,0.225757173,0.294951411,0.35066034,0.326338976,0.271691649,0.287969347,0.3384869,0.31246016,0.243186663,
MAXPercentPerDay,0.267660137,0.395642048,0.352337276,0.369361291,0.384587674,0.395302613,0.352670504,0.404392428,0.380345103,
isGoodZB,0.642732546,0.630111032,0.458537863,0.537514429,0.74245581,0.659093135,0.275858175,0.21314741,0.793628859,
BudetSledVisit3M,0.321366273,0.301171437,0.186519823,0.306872836,0.564352443,0.441729507,0.222109304,0.150398406,0.653987418,
MoreGood,0.341243763,0.745135989,0.021457126,0.56848788,0.98864171,0.872392518,0.135840108,0.018924303,0.991854249,
labels,0,1,2,3,4,5,6,7,8,
