,mean,mean,mean,mean,mean,mean
PartnerID,911024.2694953411,2695429.6877132966,1495031.5822906774,353624.42979330005,1385060.1804294079,2610604.6577201616
Sex,0.3069539115752611,0.35542837687761936,0.3652218517568607,0.22933000712758375,0.31057905009759273,0.3625305506436753
Age,38.59855543743355,39.29208177625019,35.69800988472443,47.22950819672131,37.05499024072869,34.6669782738464
CreditCondition,4.623725845788256,0.009699175590340545,2.3939333023713636,3.122950819672131,3.4087963565387116,0.9937040332481106
LombardRating,4.44303045463073,0.11942591256555962,2.4642146634965307,2.6780114041339984,3.7293428757319456,1.3228175295932962
SumAmountzb,238945.32887241634,28271.784830997374,71445.5718543638,2321609.045693102,148440.7448004369,47939.58614874418
AVGAmountzb,9278.579530904995,7625.7020281653,6524.03963270251,15119.318478487086,8264.52996581396,7191.99001457837
ZB,28.399318366581202,3.6633457899984596,10.088539680999286,151.75427655024947,18.568379960962915,5.979591606879385
Good,26.847257832530797,2.9093311500393155,8.372881473420072,139.21097647897363,17.000260247234873,3.9287170419092887
PercentGood,92.65848266128661,49.88167423153809,75.30666745337771,93.49498279190391,91.53612750452373,55.04426496568267
Promo,0.019010693515102244,0.3575157464676843,0.02378988375397711,0.31539558089807557,0.025270006506180873,0.029272303377746743
QntNew,12.587580514039146,2.4877513963083957,7.466093177044703,71.34248039914469,10.240936890045543,4.411445369254508
QntPerez,15.741073103620787,1.1326310584382422,2.4604091139100115,79.91660727013543,8.231411841249187,1.3689504094067826
QntOSN,0.03917828778688012,0.019811771953858998,0.06790375910663164,0.2694226657163222,0.046558230318802865,0.05546983229526845
QntBuyUp,0.03148646113438809,0.02315156329796289,0.09413363093793974,0.22576621525302923,0.049472999349381916,0.14372599592282653
AVGDneyZaloga,52.38534175473704,17.748660435632008,32.45442698404997,51.966856735566644,51.845126870527004,24.27573856533051
AVGDneySProshZB,89.31251954224251,24.879054158121285,166.6667960599738,14.116714183891661,71.73571893298633,138.77923569891988
AVGWeightGross,9.31930372912231,6.853885132339005,6.359338686524433,14.400845028209853,8.017400164039746,6.366513494838236
AVGCostPerGram,1096.008366622171,1161.765029068818,1115.6337083660503,1129.4704814506954,1136.595268771557,1186.2427784501704
AVGCost,10130.004253968327,8033.4518993366955,7141.166523610367,16343.89054345303,8987.583907404784,7626.064025256779
AVGPercentPerDay,0.3185952503731987,0.32285435555620684,0.34795693688760176,0.2996587135556206,0.33000195970609736,0.3507367761555523
MINPercentPerDay,0.2559161417192783,0.3113364028667915,0.29128958973458907,0.21691375816969768,0.2733446995428265,0.322874069291237
MAXPercentPerDay,0.3846579325347477,0.33710917500212767,0.40069088975224754,0.43178902392515267,0.3859646062150588,0.37824962966855935
OverPayAmount,4823.74619776491,0.03506420194035364,1.0139161094964382,4398.126888615696,2343.1526836471708,0.31671562608573245
BudetSledVisit3M,0.6441748483521981,0.245790809088772,0.3925538772935541,0.8583392729864576,0.6654782042940793,0.32833635554754637
BudetSledVisit6M,0.6997686198486649,0.2634665737145451,0.43111539341341854,0.897184604419102,0.725569290826285,0.3663036255307646
BudetSledVisit12M,0.7284722656494278,0.2855278410518721,0.4773018722749423,0.9187455452601568,0.7599739752765127,0.41548875398425444
labels,0.0,1.0,2.0,3.0,4.0,5.0
