,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std
AVGCostPerGram,1349.9185791015625,1305.1194245094478,169.99646353433948,1349.79248046875,1295.2441761173652,214.50158312620516,1349.8154296875,1286.0007626216468,246.56282167145977,1350.0,1337.3198810431334,218.90789387990668
AVGCost,3514.0,5396.866807610993,6652.586614416002,4227.0,6500.286499025703,6553.585906306904,4657.0,7179.482378230406,7129.153795216903,60872.0,73081.10225225225,43205.89501919849
MaxCost,3514.0,5396.866807610993,6652.586614416002,4227.0,6500.286499025703,6553.585906306904,4657.0,7179.718791802665,7129.310198200463,60872.0,73081.10225225225,43205.89501919849
QntTreasury,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0000267537053882,0.005172398417390916,1.0,1.0,0.0
AVGPercentPerDay,0.28999999165534973,0.2691543292230582,0.03400715347334655,0.3499999940395355,0.340363364636074,0.06925063853666455,0.3499999940395355,0.3172354475652414,0.09447212926684238,0.30000001192092896,0.28545045366024113,0.07979256752622682
MINPercentPerDay,0.28999999165534973,0.2691543292230582,0.03400715347334655,0.3499999940395355,0.340363364636074,0.06925063853666455,0.3499999940395355,0.31723500345378874,0.0944726413813032,0.30000001192092896,0.28545045366024113,0.07979256752622682
MAXPercentPerDay,0.28999999165534973,0.2691543292230582,0.03400715347334655,0.3499999940395355,0.340363364636074,0.06925063853666455,0.3499999940395355,0.3172363411389784,0.09447133532652913,0.30000001192092896,0.28545045366024113,0.07979256752622682
QntPromo,0.0,0.13530655391120508,0.34241286331151893,0.0,0.13152083140020415,0.33797222090619833,0.0,0.21822997485151693,0.413049896965583,0.0,0.2527027027027027,0.43465980947191735
PercentPromo,0.0,0.12896405919661733,0.33551501137514683,0.0,0.13152083140020415,0.33797222090619833,0.0,0.19217186580341378,0.3940126815251126,0.0,0.24549549549549549,0.4304775610633784
OverPayAmount,0.0,0.0,0.0,0.0,0.17061334153191549,28.268667437849533,0.0,0.048084434775850976,8.94507960915405,0.0,108.29619668496622,3720.5732391494407
PercentAmount,0.0,36.19970407042393,167.15039970988835,0.0,0.0,0.0,0.0,120.65903333860254,429.00968614797193,0.0,538.9627519693461,2369.5619101582656
BadPercentPerDay,0.0,0.13334037817179778,0.13707385304871508,0.3499999940395355,0.3403034221661979,0.06938764000614576,0.0,5.377494757513128e-05,0.004290317598691227,0.15000000596046448,0.1626531550140531,0.15627691979707198
GoodPercentPerDay,0.20000000298023224,0.1358139510512604,0.13661239909348183,0.0,0.0,0.0,0.3499999940395355,0.31783776443063544,0.09381539146125609,0.0,0.12270720854804322,0.14816046470829244
DayDiff,0.0,44.18816067653277,141.4879333486146,0.0,33.339407998515355,121.56501199365457,0.0,48.66742468831933,134.02744290896692,0.0,32.37117117117117,108.72735094332428
isGoodZB,1.0,0.5031712473572939,0.5005193132141352,0.0,0.0,0.0,1.0,0.9753063299266949,0.15519193626671313,0.0,0.43873873873873875,0.49634466850590975
BudetSledVisit,0.0,0.16913319238900634,0.3752664155582427,0.0,0.13127957687668182,0.33770899613044725,0.0,0.26341698325218044,0.440492528093371,0.0,0.23873873873873874,0.4264087900974878
labels,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0
