,mean,mean,mean,mean,mean,mean,mean
PartnerID,25%,17%,15%,22%,4%,15%,2%
SEX,39%,39%,34%,37%,32%,27%,59%
Age,35.29,38.30,38.85,35.44,37.36,42.37,41.19
CreditCondition,0.36,0.30,0.69,2.11,4.00,2.49,1.35
LombardRating,0.31,0.29,0.64,1.99,3.70,2.48,1.33
LifeTime,553.37,547.65,629.17,1372.43,1522.79,1537.70,922.39
CityID,71.89,72.00,72.32,73.41,73.87,74.41,75.77
AmountZB,6738,6626,8728,6030,7959,8740,72512
Qty,1.58,1.49,1.85,1.49,1.72,1.80,4.34
DayFromLast,455.08,439.84,444.34,442.97,455.55,428.43,436.26
SMS,0.02,0.06,0.09,0.15,0.14,0.14,0.10
BudetPerezalog,0.00,0.00,0.96,0.09,0.50,0.63,0.35
SumAmountzb,11363.91,13966.02,23574.98,41560.87,143606.88,187480.61,612768.65
AVGAmountzb,6830,6562,8353,5570,7508,8049,68475
ZB,1.66,2.21,3.12,7.72,20.47,24.53,11.47
PercentSMS,0.01,0.03,0.04,0.06,0.03,0.02,0.03
PercentPromo,1.00,1.00,1.00,1.00,1.00,1.00,1.00
PercentBudetPerezalog,0.00,0.02,0.71,0.12,0.51,0.58,0.34
PercentBad,4895.23,126.86,222.00,1396.53,506.24,396.95,13181.44
PercentGood,0.67,97.73,95.59,65.51,90.33,92.86,72.06
AVGBadPercentPerDay,0.33,0.02,0.04,0.28,0.20,0.18,0.14
AVGGoodPercentPerDay,0.01,0.32,0.32,0.33,0.33,0.32,0.22
PercentNew,0.93,0.96,0.90,0.88,0.55,0.49,0.81
PercentPerez,0.00,0.02,0.08,0.09,0.44,0.50,0.18
PercentOSN,0.01,0.01,0.01,0.01,0.00,0.00,0.00
PercentBuyUp,0.06,0.02,0.02,0.02,0.00,0.00,0.01
AVGDneyZaloga,0.31,26.05,45.55,30.05,51.17,50.42,29.49
AVGDneySProshZB,53.56,39.22,64.88,278.06,80.16,69.25,66.98
AVGWeightGross,5.35,5.63,7.01,5.14,7.11,7.79,56.91
SUMWeightGross,8.99,12.17,19.85,38.97,139.67,182.91,548.52
AVGCostPerGram,1286.51,1281.10,1292.02,1155.95,1173.01,1163.17,1295.68
AVGCost,6887.86,7219.38,9014.79,5977.19,8289.99,8939.23,72963.88
MaxCost,8127.12,8424.68,11426.31,11049.64,17147.87,19420.11,118707.59
AVGPercentPerDay,0.33,0.32,0.32,0.35,0.33,0.32,0.28
MINPercentPerDay,0.33,0.31,0.31,0.30,0.27,0.25,0.25
MAXPercentPerDay,0.33,0.32,0.33,0.40,0.39,0.38,0.31
OverPayAmount,0.43,4.38,30.88,99.81,2722.79,1027.48,5300.59
PercentAmount,0.00,0.00,0.00,0.00,0.00,0.00,0.00
isGoodZB,0.00,0.98,0.99,0.50,0.76,0.85,0.65
isBadZB,1.00,0.02,0.01,0.50,0.24,0.15,0.35
BudetSledVisit3M,0.05,0.04,0.99,0.16,0.58,0.75,0.43
MoreGood,0.00,0.34,0.51,0.70,0.99,0.99,0.55
labels,4.00,0.00,5.00,3.00,6.00,1.00,2.00
