,0,1
0,Age,76738.53033604301
1,CreditCondition,19976.101500749253
2,LombardRating,30117.778041131816
3,LombardCategoryID,26449.386524469464
4,AmountZB,75.4985471863565
5,Qty,46590.38933182261
6,TermWoutGracePeriod,2120.27846391204
7,WeightGross,20.352108956676258
8,WeightNet,13.3849683555987
9,WeightNet999,10.714767286385293
10,WeightNotBrilliant,4573.204172499537
11,WeightNet999Calc,15.310881146454621
12,Cost,228.86738082160147
13,CostMetal,165.0856476968239
14,CostPerGram,35027.34881499915
15,CostInsert,1362.525393047952
16,PromoActionID,
17,PromotionID,36172.17095391791
18,CostAmount,75.4985471863565
19,PercentPerDay,64456.649829340204
20,FlagNewPartner,46614.36337626792
21,DneySProshZB,11965.156493527957
22,DoSumAmountzb,5848.285117182291
23,DoAVGAmountzb,1622.5221915099091
24,DoZB,6396.597534554387
25,DoBad,128070.39831242799
26,DoSumBad,44684.682574997096
27,DoGood,33748.92609836494
28,DoPercentGood,1571626.771786883
29,DoSumGood,4668.084401089248
30,DoMaxBadPercentPerDay,193039.93660404425
31,DoAVGBadPercentPerDay,249698.62921532098
32,DoMinGoodPercentPerDay,254703.835559629
33,DoAVGGoodPercentPerDay,393682.97519755585
34,DoQntNew,33604.57237742213
35,DoQntPerez,12275.718096720151
36,DoQntOSN,613.0031063270661
37,DoQntBuyUp,1943.3097868442062
38,DoAVGDneyZaloga,129468.27298613745
39,DoAVGDneySProshZB,1085.6360776091115
40,DoAVGWeightGross,276.147269586506
41,DoSUMWeightGross,5238.1070215868
42,DoAVGWeightNet,674.2334864630257
43,DoSUMWeightNet,6315.843912312172
44,DoAVGWeightNet999,648.5012971459611
45,DoSUMWeightNet999,5894.817753951222
46,DoAVGWeightNotBrilliant,4190.934500511745
47,DoSUMWeightNotBrilliant,951.486848362946
48,DoAVGCostPerGram,11743.344462707848
49,DoAVGCost,288.7057465610896
50,DoMaxCost,1102.973960205858
51,DoQntTreasury,8695.4293865099
52,DoAVGPercentPerDay,25075.721168021966
53,DoMINPercentPerDay,47859.40122931508
54,DoMAXPercentPerDay,4050.069240564466
55,OverPayAmount,6213.027864665291
56,PercentAmount,64270.08427132386
57,Proba_375,3853.892335563576
58,Proba_500,0.9889889593113107
59,Proba_583,2168.6625157835797
60,Proba_585,10.601904134326649
61,Proba_750,489.06374240838846
62,Proba_830,0.7736694251697867
63,Proba_850,12825.963866121425
64,Proba_875,0.8787839924958532
65,Proba_900,178.42971991761658
66,Proba_925,0.16243527628447102
67,Proba_950,0.1076272789984086
68,Proba_958,234.1232397461945
