,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std
PercentBad,0.1111111119389534,0.18091312958515146,0.222324107034565,1.0,0.9806241336482847,0.09368423189173686,0.0,0.06591802180818984,0.1546890292929237,0.3181818127632141,0.3675495910147547,0.35796071640876265,0.03448275849223137,0.08159494749785169,0.13001974374876243,0.1111111119389534,0.22370550863559216,0.277505679280604,0.007462686393409967,0.05560999434428628,0.08727375479301831,0.016736695542931557,0.04584999872541687,0.11119041997203878,0.20000000298023224,0.24373214886668404,0.24703618004318595,0.875,0.7981340614935526,0.25257498250665844,0.0625,0.09188879691413511,0.11232609078021374
PercentGood,0.875,0.8078747407219187,0.22868249560194773,0.0,0.007776821462102066,0.05839146058225151,1.0,0.8965003536996041,0.22697609613234646,0.6666666865348816,0.5689421779193135,0.3852595117311008,0.9545454382896423,0.9115225350040705,0.13144545297537513,0.8571428656578064,0.7410398794245344,0.30349770800475623,0.9538461565971375,0.9218543952395236,0.09976132812519953,0.9714285731315613,0.9457025091737249,0.11120872662002093,0.800000011920929,0.7502194660695503,0.2514690189121444,0.0,0.09237861774861812,0.16993509628621262,0.9259259104728699,0.899768119996433,0.11427781876934688
PercentNewBySMS,0.0,0.05016446370721199,0.10277640455415295,0.0,0.0030339792633930036,0.046724058677703816,0.0,0.03158412512149207,0.10948120101083159,0.0,0.0956606505002864,0.19434208184961957,0.0,0.046652546287675165,0.1016555445116979,0.0,0.08742484471561096,0.14609443602004546,0.0,0.05623303880578204,0.12991622807006187,0.02777777798473835,0.04177559971547749,0.052912951128895214,0.0,0.017088506595958466,0.08007485412650722,0.0,0.049328123167730296,0.11398166608762714,0.0,0.04305362731454343,0.09135042707231106
PercentNew,0.6785714030265808,0.6649148735204,0.22491613146872602,1.0,0.9858673762574389,0.08018528275518673,1.0,0.8179931754329054,0.25015017034376635,0.8333333134651184,0.7790546164223082,0.23961510226018645,0.4117647111415863,0.47048101998461983,0.25707198767329426,0.7927781343460083,0.7569870461672893,0.22956237806588373,0.25,0.27917326629110073,0.12022282658881799,0.3924280107021332,0.4209874806684351,0.18770638725467054,0.8235294222831726,0.7692397058247525,0.2490167285632593,1.0,0.856933744223072,0.21668886310527172,0.4642857015132904,0.47425961454608795,0.1876197820085508
PercentOSN,0.0,0.004294394860646397,0.02675509670556391,0.0,0.0021866442728520753,0.03203372393619091,0.0,0.013220173432887256,0.09107222659381413,0.0,0.013097206452381922,0.07333717566843306,0.0,0.0014990035063586731,0.014343040600379258,0.0,0.011293104507746154,0.05940019480850932,0.0,0.001365713438813698,0.010982440956223919,0.0,0.0008117500695041883,0.004630973977674429,0.0,0.004539753249613215,0.03635704382697148,0.0,0.021798491586859408,0.08658526654880214,0.0,0.0019044769084385022,0.013157714922403524
PercentSkupka,0.0,0.005003600551910769,0.03109742800985936,0.0,0.009284076490828332,0.06574930055534962,0.0,0.02604268602343816,0.1280743607176831,0.0,0.050389623517703284,0.14501065140247,0.0,0.0011567714228521563,0.014411508324483452,0.0,0.02289253741067405,0.08926912981015218,0.0,0.0033554497441196005,0.020166490434302776,0.0,0.000536028442079448,0.0036488881910316418,0.0,0.0012427640246904794,0.018337212829676514,0.0,0.08714986653855214,0.17695073744123715,0.0,0.0023809018827815717,0.016401650368971902
PercentPerezalog,0.30434781312942505,0.3257871399836515,0.22602070584481734,0.0,0.002661903115586352,0.03402595858757141,0.0,0.14274396836805078,0.21516016296093146,0.0,0.1574585604523199,0.21599224576284828,0.5869565010070801,0.5268632114827013,0.25820254662409287,0.1428571492433548,0.20882731913258223,0.2229284132883343,0.739130437374115,0.716105578177604,0.12134059523457214,0.6063410937786102,0.5776647433843274,0.18811611953050597,0.1666666716337204,0.22497778509488658,0.2484976684427351,0.0,0.03411790185536329,0.10488948765458417,0.529411792755127,0.521455016563353,0.18850145051743147
MaxBadPercentPerDay,0.33000001311302185,0.26466160906009145,0.2400760787982079,0.3499999940395355,0.3415874410898635,0.08686544754866009,0.0,0.06734457733515163,0.1602566448276904,0.33000001311302185,0.25212307498869685,0.21578331949403,0.30000001192092896,0.21970780674973575,0.22638848125706812,0.33000001311302185,0.2482487966080552,0.261101784923855,0.15000000596046448,0.16544406458481062,0.21320281932986657,0.30000001192092896,0.26459243212551353,0.277756232676869,0.25,0.21745574242564,0.24310851137795034,0.3499999940395355,0.39856922910763665,0.21669670170247188,0.3100000023841858,0.24900601631584604,0.2286705569374822
AVGBadPercentPerDay,0.3075000047683716,0.24388850805821163,0.18807311047150452,0.3499999940395355,0.33948157259851247,0.07359309248685204,0.0,0.06322739367356169,0.14110973832724924,0.32499998807907104,0.23873721298804218,0.17822875935030402,0.27000001072883606,0.20393100789922003,0.18085664320772418,0.30000001192092896,0.22929689312862944,0.2078427083143903,0.15000000596046448,0.15166014192600136,0.17078559228679405,0.2800000011920929,0.23361164532070425,0.18400645680443323,0.25,0.19799742081141797,0.18874845001846596,0.3499999940395355,0.35719646074450934,0.08782516192782268,0.30000001192092896,0.23083513349222964,0.18197884194221747
MinGoodPercentPerDay,0.30000001192092896,0.3385539636553532,0.19840151038059609,0.0,0.00707711560141959,0.05156163281105479,0.33000001311302185,0.32681107176305996,0.17747126334179333,0.33000001311302185,0.2807726497939526,0.21681211744508955,0.2800000011920929,0.3313777919455602,0.2220425089984972,0.3199999928474426,0.30696602773082654,0.1588124101932869,0.3499999940395355,0.6948678290431924,0.722433477363769,0.25,0.2597598266317421,0.07537437840353968,0.25,0.3211153279697889,0.20067756696988845,0.0,0.1442461531322736,0.31075259442510644,0.30000001192092896,0.37644226391468893,0.3056031424898376
